name,description,category,price,calories,protein,fat,carbohydrates,image
Greek Salad #1,Rich in flavor and nutrients.,Wrap,9.61,474,7.6,22.0,33.1,https://example.com/images/item_1.jpg
Vegan Buddha Bowl #2,Rich in flavor and nutrients.,Dessert,6.5,543,13.1,22.7,47.7,https://example.com/images/item_2.jpg
Caesar Salad #3,Rich in flavor and nutrients.,Wrap,6.9,437,9.3,6.1,34.8,https://example.com/images/item_3.jpg
Lemonade #4,Served with a side of bread.,Burger,5.35,662,16.1,10.4,77.2,https://example.com/images/item_4.jpg
Vegan Buddha Bowl #5,Served with a side of bread.,Dessert,8.25,230,19.3,9.3,13.6,https://example.com/images/item_5.jpg
Cheeseburger #6,Served with a side of bread.,Sandwich,18.83,291,25.4,11.5,56.2,https://example.com/images/item_6.jpg
Veggie Wrap #7,Topped with fresh herbs.,Salad,5.17,175,12.9,13.8,32.9,https://example.com/images/item_7.jpg
Tomato Soup #8,A customer favorite with premium ingredients.,Dessert,6.66,357,23.6,6.5,54.3,https://example.com/images/item_8.jpg
Greek Salad #9,A customer favorite with premium ingredients.,Bowl,5.83,619,15.6,13.5,23.8,https://example.com/images/item_9.jpg
Chocolate Cake #10,Rich in flavor and nutrients.,Dessert,13.39,780,18.6,21.6,19.6,https://example.com/images/item_10.jpg
Grilled Chicken Sandwich #11,Perfect for lunch or dinner.,Drink,14.63,210,27.8,8.6,25.4,https://example.com/images/item_11.jpg
Vegan Buddha Bowl #12,Served with a side of bread.,Soup,7.46,751,29.5,21.8,30.0,https://example.com/images/item_12.jpg
Grilled Chicken Sandwich #13,A customer favorite with premium ingredients.,Soup,8.84,707,23.8,13.1,29.3,https://example.com/images/item_13.jpg
Vegan Buddha Bowl #14,Served with a side of bread.,Salad,10.33,568,12.0,18.8,14.5,https://example.com/images/item_14.jpg
Veggie Wrap #15,A customer favorite with premium ingredients.,Drink,9.0,576,29.4,5.4,33.3,https://example.com/images/item_15.jpg
Turkey Club Sandwich #16,Topped with fresh herbs.,Bowl,13.37,764,24.1,6.0,17.3,https://example.com/images/item_16.jpg
Greek Salad #17,A customer favorite with premium ingredients.,Salad,11.99,398,11.0,4.2,56.6,https://example.com/images/item_17.jpg
Caesar Salad #18,Delicious and freshly prepared.,Sandwich,15.45,693,25.2,20.8,43.9,https://example.com/images/item_18.jpg
Cheeseburger #19,Delicious and freshly prepared.,Dessert,12.46,181,19.1,17.4,23.0,https://example.com/images/item_19.jpg
Caesar Salad #20,Topped with fresh herbs.,Bowl,10.45,213,12.3,14.1,60.8,https://example.com/images/item_20.jpg
Chicken Alfredo Pasta #21,Rich in flavor and nutrients.,Wrap,5.12,711,16.2,4.5,67.9,https://example.com/images/item_21.jpg
Grilled Chicken Sandwich #22,Served with a side of bread.,Bowl,12.87,231,28.6,17.3,62.8,https://example.com/images/item_22.jpg
Grilled Chicken Sandwich #23,Topped with fresh herbs.,Pasta,18.8,166,17.0,6.6,47.9,https://example.com/images/item_23.jpg
Spaghetti Bolognese #24,Rich in flavor and nutrients.,Wrap,6.46,408,18.9,13.9,16.4,https://example.com/images/item_24.jpg
Grilled Chicken Sandwich #25,Served with a side of bread.,Soup,8.21,336,25.2,13.9,36.0,https://example.com/images/item_25.jpg
Vegan Buddha Bowl #26,Topped with fresh herbs.,Salad,6.9,779,28.6,23.4,42.2,https://example.com/images/item_26.jpg
Veggie Wrap #27,Rich in flavor and nutrients.,Pasta,8.16,127,29.3,23.0,42.9,https://example.com/images/item_27.jpg
Chocolate Cake #28,A customer favorite with premium ingredients.,Bowl,6.71,600,11.8,4.7,34.4,https://example.com/images/item_28.jpg
Chicken Alfredo Pasta #29,Rich in flavor and nutrients.,Drink,19.45,461,20.5,14.5,17.4,https://example.com/images/item_29.jpg
Turkey Club Sandwich #30,Served with a side of bread.,Pasta,7.49,390,22.6,10.9,45.7,https://example.com/images/item_30.jpg
Chicken Alfredo Pasta #31,Perfect for lunch or dinner.,Soup,10.17,782,19.6,19.3,16.3,https://example.com/images/item_31.jpg
Turkey Club Sandwich #32,Served with a side of bread.,Salad,18.49,797,18.0,8.5,71.4,https://example.com/images/item_32.jpg
Lemonade #33,Served with a side of bread.,Burger,7.8,737,7.0,16.0,35.0,https://example.com/images/item_33.jpg
Lemonade #34,Topped with fresh herbs.,Wrap,18.43,499,14.1,22.0,52.5,https://example.com/images/item_34.jpg
Cheeseburger #35,A customer favorite with premium ingredients.,Drink,15.34,658,18.1,22.9,70.0,https://example.com/images/item_35.jpg
Grilled Chicken Sandwich #36,A customer favorite with premium ingredients.,Soup,13.77,221,10.2,4.2,68.9,https://example.com/images/item_36.jpg
Tomato Soup #37,Delicious and freshly prepared.,Salad,15.29,430,15.0,11.3,12.7,https://example.com/images/item_37.jpg
Quinoa Salad #38,Perfect for lunch or dinner.,Sandwich,19.31,744,20.9,20.9,35.6,https://example.com/images/item_38.jpg
Pepperoni Pizza #39,Topped with fresh herbs.,Pizza,11.05,351,17.9,9.8,62.7,https://example.com/images/item_39.jpg
Tomato Soup #40,Delicious and freshly prepared.,Burger,5.05,361,17.7,14.2,20.8,https://example.com/images/item_40.jpg
Vegan Buddha Bowl #41,Served with a side of bread.,Pasta,12.28,233,25.7,9.4,63.0,https://example.com/images/item_41.jpg
Margherita Pizza #42,Delicious and freshly prepared.,Pizza,17.85,213,7.2,7.0,43.4,https://example.com/images/item_42.jpg
Margherita Pizza #43,A customer favorite with premium ingredients.,Pizza,12.68,482,13.0,8.9,28.5,https://example.com/images/item_43.jpg
Spaghetti Bolognese #44,Rich in flavor and nutrients.,Pizza,13.71,423,8.6,16.6,72.8,https://example.com/images/item_44.jpg
Vegan Buddha Bowl #45,A customer favorite with premium ingredients.,Pizza,17.94,713,14.8,20.1,34.3,https://example.com/images/item_45.jpg
Chicken Alfredo Pasta #46,Perfect for lunch or dinner.,Salad,8.58,659,19.1,15.9,27.7,https://example.com/images/item_46.jpg
Cheeseburger #47,Perfect for lunch or dinner.,Dessert,7.6,724,10.8,13.9,10.3,https://example.com/images/item_47.jpg
